Transaction ID,Transaction
Trans1,"Swimming Shirt, Sweatshirts, Running Shoe, Dry Fit V-Nick, Soccer Shoe, Modern Pants, Socks, Rash Guard, Tech Pants"
Trans2,"Dry Fit V-Nick, Tech Pants, Modern Pants, Rash Guard, Running Shoe, Soccer Shoe, Sweatshirts, Hoodies, Socks, Swimming Shirt"
Trans3,"Modern Pants, Dry Fit V-Nick, Tech Pants, Swimming Shirt, Running Shoe, Socks, Soccer Shoe, Sweatshirts, Hoodies"
Trans4,"Socks, Dry Fit V-Nick, Modern Pants"
Trans5,"Rash Guard, Sweatshirts, Socks, Soccer Shoe, Tech Pants, Running Shoe"
Trans6,"Rash Guard, Sweatshirts, Hoodies, Soccer Shoe, Dry Fit V-Nick"
Trans7,"Socks, Hoodies, Soccer Shoe, Sweatshirts, Tech Pants, Running Shoe, Swimming Shirt, Modern Pants, Rash Guard"
Trans8,"Socks, Hoodies, Sweatshirts, Running Shoe, Soccer Shoe, Dry Fit V-Nick, Swimming Shirt, Tech Pants, Rash Guard"
Trans9,"Socks, Swimming Shirt, Running Shoe, Hoodies, Modern Pants, Sweatshirts, Rash Guard, Dry Fit V-Nick"
Trans10,"Soccer Shoe, Tech Pants, Sweatshirts, Dry Fit V-Nick, Modern Pants, Swimming Shirt"
Trans11,"Sweatshirts, Rash Guard, Swimming Shirt, Running Shoe, Socks, Dry Fit V-Nick, Modern Pants"
Trans12,Modern Pants
Trans13,"Sweatshirts, Running Shoe, Dry Fit V-Nick, Modern Pants, Tech Pants, Swimming Shirt, Rash Guard, Hoodies, Socks"
Trans14,"Hoodies, Socks, Modern Pants, Sweatshirts"
Trans15,"Socks, Rash Guard, Modern Pants, Tech Pants"
Trans16,"Swimming Shirt, Modern Pants, Running Shoe, Dry Fit V-Nick, Socks, Sweatshirts, Tech Pants, Rash Guard, Soccer Shoe"
Trans17,Soccer Shoe
Trans18,"Dry Fit V-Nick, Hoodies"
Trans19,"Sweatshirts, Dry Fit V-Nick, Swimming Shirt, Soccer Shoe"
Trans20,Rash Guard
